date   REG1_contr  REG2_contr  REG3_contr  REG4_contr  REG5_contr  REG6_contr  lpyear
200901 -2.4933035714285000E-01 -2.4933035714285000E-01 -2.5004464285714000E-01 -2.5111607142857000E-01  7.4995535714285000E-01  7.4924107142857000E-01  0.0000000000000000E+00
200902 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02 -2.4214285714285000E-01
200903  6.5834821428571000E-01  5.1727678571428000E-01 -4.8058035714285000E-01 -4.8272321428571000E-01 -4.8200892857142000E-01 -4.8343750000000000E-01  8.8817841970012000E-16
200904 -7.2589285714285000E-01 -3.0232142857142000E-01  6.9732142857143000E-01  7.0196428571428000E-01 -3.0196428571428000E-01 -3.0160714285714000E-01  1.7763568394002000E-15
200905  2.2122767857142000E-01 -2.0609375000000000E-01  4.6763392857143000E-02 -5.5537946428571000E-01 -1.2071651785714000E+00  7.9033482142857000E-01  8.8817841970012000E-16
200906 -4.6785714285714000E-02  6.6678571428571000E-01 -3.1750000000000000E-01 -3.0464285714285000E-01 -3.3321428571428000E-01 -3.3464285714285000E-01  1.9984014443252000E-15
200907 -2.4959821428571000E-01 -1.2503125000000000E+00  7.4825892857142000E-01  7.5111607142857000E-01  7.4825892857143000E-01 -2.4709821428571000E-01  1.2212453270876000E-15
200908  6.2544642857142000E-01 -3.7455357142857000E-01 -3.7419642857142000E-01 -3.7455357142857000E-01 -3.7598214285714000E-01 -3.7491071428571000E-01  8.3266726846886000E-16
200909 -2.4986607142857000E-01  7.4941964285714000E-01  7.5049107142857000E-01 -2.4950892857142000E-01 -2.4915178571428000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200910 -3.7558035714285000E-01 -3.7486607142857000E-01 -3.7629464285714000E-01  6.2406250000000000E-01  6.2513392857142000E-01  6.2441964285714000E-01  8.8817841970012000E-16
200911  9.9915178571428000E-01  9.3750000000037000E-04 -1.0001339285714000E+00  2.2321428571464000E-04 -4.9107142857141000E-04 -1.5624999999999000E-03  1.8873791418627000E-15
200912 -2.5263392857142000E-01  7.5022321428571000E-01  7.5022321428571000E-01  7.4950892857143000E-01 -1.2476339285714000E+00 -2.5156250000000000E-01  9.9920072216264000E-16
201001 -3.7433035714285000E-01 -3.7433035714285000E-01 -3.7504464285714000E-01 -3.7611607142857000E-01 -3.7504464285714000E-01  6.2424107142857000E-01  0.0000000000000000E+00
201002 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02 -2.4214285714285000E-01
201003  7.8334821428571000E-01  6.4227678571428000E-01  6.4441964285714000E-01 -3.5772321428571000E-01 -3.5700892857142000E-01 -3.5843750000000000E-01  8.8817841970012000E-16
201004 -7.2589285714285000E-01 -3.0232142857142000E-01 -3.0267857142857000E-01  7.0196428571428000E-01  6.9803571428571000E-01 -3.0160714285714000E-01  1.8873791418627000E-15
201005  9.6227678571429000E-02 -3.3109375000000000E-01 -7.8236607142857000E-02 -6.8037946428571000E-01 -3.3216517857142000E-01 -1.3346651785714000E+00  6.6613381477509000E-16
201006  7.8214285714286000E-02  7.9178571428571000E-01  8.0750000000000000E-01 -1.7964285714285000E-01 -2.0821428571428000E-01 -2.0964285714285000E-01  1.7763568394002000E-15
201007 -2.4959821428571000E-01 -2.5031250000000000E-01 -1.2517410714285000E+00  7.5111607142857000E-01  7.4825892857143000E-01  7.5290178571428000E-01  8.8817841970012000E-16
201008  7.5044642857143000E-01  7.5044642857143000E-01 -2.4919642857142000E-01 -2.4955357142857000E-01 -2.5098214285714000E-01 -2.4991071428571000E-01  8.3266726846886000E-16
201009 -2.4986607142857000E-01 -2.5058035714285000E-01  7.5049107142857000E-01  7.5049107142857000E-01 -2.4915178571428000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
201010 -5.0058035714285000E-01 -4.9986607142857000E-01 -5.0129464285714000E-01 -5.0093750000000000E-01  5.0013392857142000E-01  4.9941964285714000E-01  8.8817841970012000E-16
201011 -8.4821428571384000E-04  1.0009375000000000E+00 -1.3392857142878000E-04 -9.9977678571428000E-01 -4.9107142857139000E-04 -1.5624999999999000E-03  1.6653345369377000E-15
201012 -2.5263392857142000E-01 -2.4977678571428000E-01  7.5022321428571000E-01  7.4950892857143000E-01  7.5236607142857000E-01 -1.2515625000000000E+00  6.6613381477509000E-16
201101  6.2566964285714000E-01 -3.7433035714285000E-01 -3.7504464285714000E-01 -3.7611607142857000E-01 -3.7504464285714000E-01 -3.7575892857142000E-01  0.0000000000000000E+00
201102 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02 -2.4214285714285000E-01
201103 -2.1665178571428000E-01  6.4227678571428000E-01  6.4441964285714000E-01  6.4227678571428000E-01 -3.5700892857142000E-01 -3.5843750000000000E-01  8.8817841970012000E-16
201104 -7.2589285714285000E-01 -3.0232142857142000E-01 -3.0267857142857000E-01 -2.9803571428571000E-01  6.9803571428571000E-01  6.9839285714285000E-01  1.9984014443252000E-15
201105  1.5962276785714000E+00  1.1689062500000000E+00  4.2176339285714000E-01  8.1962053571428000E-01  1.6783482142857000E-01  1.6533482142857000E-01  6.6613381477509000E-16
201106 -1.1717857142857000E+00 -4.5821428571428000E-01  5.5750000000000000E-01 -4.2964285714285000E-01 -4.5821428571428000E-01 -4.5964285714285000E-01  1.7763568394002000E-15
201107 -3.7459821428571000E-01 -3.7531250000000000E-01 -3.7674107142857000E-01 -1.3738839285714000E+00  6.2325892857143000E-01  6.2790178571428000E-01  8.8817841970012000E-16
201108 -2.4955357142857000E-01  7.5044642857143000E-01  7.5080357142857000E-01 -2.4955357142857000E-01 -2.5098214285714000E-01 -2.4991071428571000E-01  8.3266726846886000E-16
201109 -2.4986607142857000E-01 -2.5058035714285000E-01 -2.4950892857142000E-01  7.5049107142857000E-01  7.5084821428571000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
201110  4.9941964285714000E-01 -4.9986607142857000E-01 -5.0129464285714000E-01 -5.0093750000000000E-01 -4.9986607142857000E-01  4.9941964285714000E-01  8.8817841970012000E-16
201111 -8.4821428571388000E-04  9.3750000000045000E-04  9.9986607142857000E-01  2.2321428571467000E-04 -1.0004910714285000E+00 -1.5624999999998000E-03  1.8318679906315000E-15
201112 -1.2763392857142000E-01 -1.2477678571428000E-01 -1.2477678571428000E-01  8.7450892857143000E-01  8.7736607142857000E-01  8.7343750000000000E-01  8.8817841970012000E-16
201201  7.5066964285714000E-01  7.5066964285714000E-01 -2.5004464285714000E-01 -2.5111607142857000E-01 -2.5004464285714000E-01 -2.5075892857142000E-01  0.0000000000000000E+00
201202 -3.1473214285714000E-02 -2.9687500000000000E-02  9.6852678571428000E-01 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02  7.5785714285714000E-01
201203 -2.1665178571428000E-01 -3.5772321428571000E-01 -3.5558035714285000E-01  6.4227678571428000E-01  6.4299107142857000E-01  6.4156250000000000E-01  8.8817841970012000E-16
201204  1.4910714285714000E-01 -4.2732142857142000E-01 -4.2767857142857000E-01 -4.2303571428571000E-01 -4.2696428571428000E-01 -4.2660714285714000E-01  1.5543122344752000E-15
201205 -7.7877232142857000E-01 -1.2060937500000000E+00  1.0467633928571000E+00  4.4462053571428000E-01 -2.0716517857142000E-01 -2.0966517857142000E-01  1.1102230246251000E-15
201206  7.8214285714286000E-02 -2.0821428571428000E-01 -1.9249999999999000E-01 -1.7964285714285000E-01  7.9178571428571000E-01  7.9035714285714000E-01  1.7763568394002000E-15
