date   REG1_contr  REG2_contr  REG3_contr  REG4_contr  REG5_contr  lpyear
201809 -4.4436507936508000E-01 -4.4507936507936000E-01 -4.4400793650793000E-01 -4.4400793650793000E-01 -4.4365079365079000E-01  1.7763568394002000E-15
201810  6.6615079365079000E-01  6.6686507936508000E-01  6.6543650793650000E-01 -3.3420634920634000E-01 -3.3313492063492000E-01  8.8817841970012000E-16
201811  1.1043650793650000E-01  1.1222222222222000E-01  1.1115079365079000E-01  1.1150793650793000E-01  1.1107936507936000E+00  2.1094237467878000E-15
201812  5.5309523809523000E-01 -1.4440476190476000E+00 -4.4404761904761000E-01 -4.4476190476190000E-01 -4.4190476190476000E-01  8.3266726846886000E-16
201901 -2.2146825396825000E-01 -2.2146825396825000E-01  7.7781746031746000E-01  7.7674603174603000E-01 -2.2218253968254000E-01 -1.1102230246251000E-16
201902 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
201903 -3.9904761904761000E-01 -5.4011904761904000E-01 -5.3797619047619000E-01 -5.4011904761904000E-01  4.6059523809523000E-01  8.8817841970012000E-16
201904  3.0761904761904000E-01  7.3119047619047000E-01 -2.6916666666666000E-01 -2.6452380952380000E-01 -2.6845238095238000E-01  1.8318679906315000E-15
201905  3.5563492063492000E-01 -7.1686507936507000E-02 -8.1882936507936000E-01  5.7902777777777000E-01  9.2724206349206000E-01  8.8817841970012000E-16
201906 -1.2318253968253000E+00 -5.1825396825396000E-01 -5.0253968253968000E-01 -4.8968253968254000E-01 -5.1825396825396000E-01  1.9428902930940000E-15
201907  8.8896825396825000E-01  8.8825396825396000E-01  8.8682539682539000E-01 -1.1031746031746000E-01 -1.1317460317460000E-01  7.7715611723761000E-16
201908 -3.3289682539682000E-01 -3.3289682539682000E-01 -3.3253968253968000E-01 -3.3289682539682000E-01  6.6567460317460000E-01  8.8817841970012000E-16
201909  6.6674603174603000E-01 -3.3396825396825000E-01 -3.3289682539682000E-01 -3.3289682539682000E-01 -3.3253968253968000E-01  1.7763568394002000E-15
201910 -3.3384920634920000E-01  6.6686507936508000E-01  6.6543650793650000E-01  6.6579365079365000E-01 -3.3313492063492000E-01  8.8817841970012000E-16
201911 -1.1117857142857000E+00 -1.0999999999999000E-01 -1.1107142857142000E-01 -1.1071428571428000E-01 -1.1142857142857000E-01  1.8873791418627000E-15
201912  6.6420634920635000E-01  6.6706349206349000E-01 -1.3329365079365000E+00 -3.3365079365079000E-01 -3.3079365079365000E-01  8.3266726846886000E-16
202001 -2.2146825396825000E-01 -2.2146825396825000E-01 -2.2218253968254000E-01  7.7674603174603000E-01  7.7781746031746000E-01 -1.1102230246251000E-16
202002 -1.3920634920634000E-01 -1.3742063492063000E-01 -1.3920634920634000E-01 -1.3706349206349000E-01 -1.3813492063492000E-01  7.5785714285714000E-01
202003  7.1206349206349000E-01  5.7099206349206000E-01 -4.2686507936507000E-01 -4.2900793650793000E-01 -4.2829365079365000E-01  8.8817841970012000E-16
202004 -6.9238095238095000E-01 -2.6880952380952000E-01  7.3083333333333000E-01  7.3547619047619000E-01 -2.6845238095238000E-01  1.7763568394002000E-15
202005  1.3341269841269000E-01 -2.9390873015873000E-01 -4.1051587301587000E-02 -6.4319444444444000E-01 -1.2949801587301000E+00  8.8817841970012000E-16
202006 -9.6031746031742000E-03  7.0396825396825000E-01 -2.8031746031746000E-01 -2.6746031746031000E-01 -2.9603174603174000E-01  1.7208456881689000E-15
202007 -2.2214285714285000E-01 -1.2228571428571000E+00  7.7571428571428000E-01  7.7857142857142000E-01  7.7571428571428000E-01  1.2212453270876000E-15
202008  6.6710317460317000E-01 -3.3289682539682000E-01 -3.3253968253968000E-01 -3.3289682539682000E-01 -3.3432539682539000E-01  9.9920072216264000E-16
202009 -2.2214285714285000E-01  7.7714285714285000E-01  7.7821428571428000E-01 -2.2178571428571000E-01 -2.2142857142857000E-01  1.7763568394002000E-15
202010 -4.4496031746031000E-01 -4.4424603174603000E-01 -4.4567460317460000E-01  5.5468253968254000E-01  5.5575396825396000E-01  8.8817841970012000E-16
202011  9.9932539682539000E-01  1.1111111111114000E-03 -9.9996031746031000E-01  3.9682539682575000E-04 -3.1746031746030000E-04  1.8318679906315000E-15
202012 -2.2468253968254000E-01  7.7817460317460000E-01  7.7817460317460000E-01  7.7746031746031000E-01 -1.2196825396825000E+00  8.8817841970012000E-16
202101 -4.4369047619047000E-01 -4.4369047619047000E-01 -4.4440476190476000E-01 -4.4547619047619000E-01 -4.4440476190476000E-01 -5.5511151231257000E-17
202102 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
202103  8.2317460317460000E-01  6.8210317460317000E-01  6.8424603174603000E-01 -3.1789682539682000E-01 -3.1718253968254000E-01  8.8817841970012000E-16
202104 -6.9238095238095000E-01 -2.6880952380952000E-01 -2.6916666666666000E-01  7.3547619047619000E-01  7.3154761904762000E-01  1.8873791418627000E-15
202105  2.4452380952381000E-01 -1.8279761904761000E-01  7.0059523809523000E-02 -5.3208333333333000E-01 -1.8386904761904000E-01  8.8817841970012000E-16
202106  1.0150793650793000E-01  8.1507936507936000E-01  8.3079365079365000E-01 -1.5634920634920000E-01 -1.8492063492063000E-01  1.7208456881689000E-15
202107 -3.3325396825396000E-01 -3.3396825396825000E-01 -1.3353968253968000E+00  6.6746031746031000E-01  6.6460317460317000E-01  7.7715611723761000E-16
202108  7.7821428571428000E-01  7.7821428571428000E-01 -2.2142857142857000E-01 -2.2178571428571000E-01 -2.2321428571428000E-01  8.8817841970012000E-16
202109 -2.2214285714285000E-01 -2.2285714285714000E-01  7.7821428571428000E-01  7.7821428571428000E-01 -2.2142857142857000E-01  1.7763568394002000E-15
202110 -5.5607142857142000E-01 -5.5535714285714000E-01 -5.5678571428571000E-01 -5.5642857142857000E-01  4.4464285714285000E-01  8.8817841970012000E-16
202111 -6.7460317460274000E-04  1.0011111111111000E+00  3.9682539682308000E-05 -9.9960317460317000E-01 -3.1746031746030000E-04  1.8318679906315000E-15
202112 -1.1357142857142000E-01 -1.1071428571428000E-01  8.8928571428571000E-01  8.8857142857143000E-01  8.9142857142857000E-01  7.7715611723761000E-16
202201  6.6742063492063000E-01 -3.3257936507936000E-01 -3.3329365079365000E-01 -3.3436507936508000E-01 -3.3329365079365000E-01 -5.5511151231257000E-17
202202 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
202203 -1.7682539682539000E-01  6.8210317460317000E-01  6.8424603174603000E-01  6.8210317460317000E-01 -3.1718253968254000E-01  8.8817841970012000E-16
202204 -8.0349206349206000E-01 -3.7992063492063000E-01 -3.8027777777777000E-01 -3.7563492063492000E-01  6.2043650793650000E-01  1.7763568394002000E-15
202205  1.4667460317460000E+00  1.0394246031746000E+00  2.9228174603174000E-01 -3.0986111111111000E-01  3.8353174603174000E-02  6.6613381477509000E-16
202206 -1.0096031746031000E+00 -2.9603174603174000E-01  7.1968253968254000E-01  7.3253968253968000E-01 -2.9603174603174000E-01  1.8873791418627000E-15
202207 -4.4436507936508000E-01 -4.4507936507936000E-01 -4.4650793650793000E-01 -1.4436507936507000E+00  5.5349206349206000E-01  8.8817841970012000E-16
202208 -2.2178571428571000E-01  7.7821428571428000E-01  7.7857142857143000E-01 -2.2178571428571000E-01 -2.2321428571428000E-01  8.8817841970012000E-16
202209 -2.2214285714285000E-01 -2.2285714285714000E-01 -2.2178571428571000E-01  7.7821428571428000E-01  7.7857142857142000E-01  1.7763568394002000E-15
202210  4.4392857142857000E-01 -5.5535714285714000E-01 -5.5678571428571000E-01 -5.5642857142857000E-01 -5.5535714285714000E-01  8.8817841970012000E-16
202211 -6.7460317460279000E-04  1.1111111111115000E-03  1.0000396825396000E+00  3.9682539682576000E-04 -1.0003174603174000E+00  1.7763568394002000E-15
202212 -2.2468253968254000E-01 -2.2182539682539000E-01 -2.2182539682539000E-01  7.7746031746031000E-01  7.8031746031746000E-01  7.7715611723761000E-16
202301  7.7853174603174000E-01  7.7853174603174000E-01 -2.2218253968254000E-01 -2.2325396825396000E-01 -2.2218253968254000E-01 -5.5511151231257000E-17
202302 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
202303 -1.7682539682539000E-01 -3.1789682539682000E-01  6.8424603174603000E-01  6.8210317460317000E-01  6.8281746031746000E-01  8.8817841970012000E-16
202304 -9.1460317460317000E-01 -4.9103174603174000E-01 -4.9138888888888000E-01 -4.8674603174603000E-01 -4.9067460317460000E-01  1.6098233857064000E-15
202305 -1.7554761904761000E+00  8.1720238095238000E-01  1.0700595238095000E+00 -5.3208333333333000E-01 -1.8386904761904000E-01  8.8817841970012000E-16
202306  1.0150793650793000E-01 -1.8492063492063000E-01 -1.6920634920634000E-01  8.4365079365079000E-01  8.1507936507936000E-01  1.9984014443252000E-15
202307  5.5563492063492000E-01 -4.4507936507936000E-01 -4.4650793650793000E-01 -4.4365079365079000E-01 -1.4465079365079000E+00  8.8817841970012000E-16
202308 -2.2178571428571000E-01 -2.2178571428571000E-01  7.7857142857143000E-01  7.7821428571428000E-01 -2.2321428571428000E-01  9.4368957093138000E-16
202309 -3.3325396825396000E-01 -3.3396825396825000E-01 -3.3289682539682000E-01 -3.3289682539682000E-01  6.6746031746031000E-01  1.7763568394002000E-15
202310  5.5503968253968000E-01  5.5575396825396000E-01 -4.4567460317460000E-01 -4.4531746031746000E-01 -4.4424603174603000E-01  8.8817841970012000E-16
202311  1.1043650793650000E-01  1.1222222222222000E-01  1.1115079365079000E-01  1.1115079365079000E+00  1.1079365079365000E-01  1.7208456881689000E-15
202312 -1.4469047619047000E+00 -4.4404761904761000E-01 -4.4404761904761000E-01 -4.4476190476190000E-01  5.5809523809523000E-01  8.8817841970012000E-16
202401 -2.2146825396825000E-01  7.7853174603174000E-01  7.7781746031746000E-01 -2.2325396825396000E-01 -2.2218253968254000E-01 -5.5511151231257000E-17
202402 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02  9.7404761904762000E-01 -2.7023809523809000E-02  7.5785714285714000E-01
202403 -3.9904761904761000E-01 -5.4011904761904000E-01 -5.3797619047619000E-01 -5.4011904761904000E-01  4.6059523809523000E-01  8.8817841970012000E-16
202404  3.0761904761904000E-01  7.3119047619047000E-01 -2.6916666666666000E-01 -2.6452380952380000E-01 -2.6845238095238000E-01  1.8318679906315000E-15
202405 -7.5547619047619000E-01 -1.8279761904761000E-01 -9.2994047619047000E-01  4.6791666666666000E-01  8.1613095238095000E-01  8.8817841970012000E-16
