date   REG1_contr  lpyear
201106 -1.7050000000000000E+00  1.7763568394002000E-15
201107 -2.2261111111111000E+00  8.8817841970012000E-16
201108  8.9000000000000000E-01  8.8817841970012000E-16
201109  8.9000000000000000E-01  1.7763568394002000E-15
201110 -1.7800000000000000E+00  8.8817841970012000E-16
201111  5.5555555555649000E-04  1.6653345369377000E-15
201112  8.8944444444444000E-01  8.8817841970012000E-16
201201  8.8944444444444000E-01 -2.2204460492503000E-16
201202  8.6452380952381000E-01  7.5785714285714000E-01
201203 -1.1111111111098000E-03  8.8817841970012000E-16
201204 -1.3188888888888000E+00  1.8873791418627000E-15
201205 -5.8416666666666000E-01  6.6613381477509000E-16
201206 -1.4944444444444000E-01  1.7208456881689000E-15
201207  8.8500000000000000E-01  7.7715611723761000E-16
201208  8.9000000000000000E-01  7.7715611723761000E-16
201209 -2.2211111111111000E+00  1.7763568394002000E-15
201210  1.3311111111111000E+00  8.8817841970012000E-16
201211  1.5561111111111000E+00  1.9984014443252000E-15
201212 -2.2216666666666000E+00  8.8817841970012000E-16
201301  8.8944444444444000E-01 -1.1102230246251000E-16
201302 -1.3547619047619000E-01 -2.4214285714285000E-01
201303 -1.5566666666666000E+00  8.8817841970012000E-16
201304  2.3666666666666000E-01  1.8873791418627000E-15
201305 -5.8416666666666000E-01  8.8817841970012000E-16
201306 -1.7050000000000000E+00  1.5543122344752000E-15
201307  2.4405555555555000E+00  8.8817841970012000E-16
201308 -6.6555555555555000E-01  9.9920072216264000E-16
201309 -6.6555555555555000E-01  1.7763568394002000E-15
201310  1.3311111111111000E+00  8.8817841970012000E-16
201311 -1.5550000000000000E+00  1.8873791418627000E-15
201312 -6.6611111111111000E-01  8.3266726846886000E-16
201401  8.8944444444444000E-01  0.0000000000000000E+00
201402 -1.3547619047619000E-01 -2.4214285714285000E-01
201403 -1.5566666666666000E+00  8.8817841970012000E-16
201404  2.3666666666666000E-01  1.7763568394002000E-15
201405 -5.8416666666666000E-01  8.8817841970012000E-16
201406 -1.7050000000000000E+00  1.5543122344752000E-15
201407  8.8500000000000000E-01  8.8817841970012000E-16
201408 -2.2211111111111000E+00  8.8817841970012000E-16
201409  8.9000000000000000E-01  1.7763568394002000E-15
201410  1.3311111111111000E+00  8.8817841970012000E-16
201411 -1.5550000000000000E+00  1.9984014443252000E-15
201412  8.8944444444444000E-01  7.7715611723761000E-16
201501 -6.6611111111111000E-01  0.0000000000000000E+00
201502 -1.3547619047619000E-01 -2.4214285714285000E-01
201503 -1.1111111111098000E-03  8.8817841970012000E-16
201504  2.3666666666666000E-01  1.7208456881689000E-15
201505 -3.6952777777777000E+00  8.8817841970012000E-16
201506  1.4061111111111000E+00  1.9984014443252000E-15
